controller,value,date,time
BLOWER,0,2020-10-23,06:34:01
BLOWER,1,2020-10-23,06:41:01
BLOWER,1,2020-10-23,06:41:01
BLOWER,1,2020-10-23,06:41:01
BLOWER,0,2020-10-23,06:57:31
BLOWER,1,2020-10-23,07:14:31
BLOWER,0,2020-10-23,07:23:31
BLOWER,1,2020-10-23,07:27:31
BLOWER,1,2020-10-23,07:27:31
BLOWER,1,2020-10-23,07:27:31
BLOWER,1,2020-10-23,07:27:31
BLOWER,1,2020-10-23,07:27:31
BLOWER,0,2020-10-23,08:18:31
BLOWER,1,2020-10-23,08:35:01
BLOWER,0,2020-10-23,08:45:01
BLOWER,1,2020-10-23,08:56:31
BLOWER,0,2020-10-23,09:17:01
BLOWER,1,2020-10-23,09:20:01
BLOWER,0,2020-10-23,09:35:31
BLOWER,1,2020-10-23,09:37:31
BLOWER,0,2020-10-23,09:46:01
BLOWER,1,2020-10-23,09:53:01
BLOWER,0,2020-10-23,10:07:01
BLOWER,1,2020-10-23,10:16:01
BLOWER,0,2020-10-23,10:24:31
BLOWER,1,2020-10-24,03:05:31
BLOWER,0,2020-10-24,03:06:31
BLOWER,1,2020-10-24,03:09:01
BLOWER,0,2020-10-24,03:10:31
BLOWER,1,2020-10-24,03:11:01
BLOWER,0,2020-10-24,03:17:01
BLOWER,1,2020-10-24,03:27:01
BLOWER,0,2020-10-24,03:37:01
BLOWER,1,2020-10-24,03:37:31
BLOWER,0,2020-10-24,04:16:01
BLOWER,1,2020-10-24,04:20:01
BLOWER,1,2020-10-24,04:20:01
BLOWER,1,2020-10-24,04:20:01
BLOWER,0,2020-10-24,04:36:31
BLOWER,1,2020-10-24,04:37:31
BLOWER,0,2020-10-24,04:40:01
BLOWER,1,2020-10-24,04:57:31
BLOWER,0,2020-10-24,05:47:01
BLOWER,1,2020-10-24,07:15:31
BLOWER,0,2020-10-24,07:19:31
BLOWER,1,2020-10-24,07:58:31
BLOWER,1,2020-10-24,07:58:31
BLOWER,1,2020-10-24,07:58:31
BLOWER,0,2020-10-24,08:08:31
BLOWER,1,2020-10-24,08:17:31
BLOWER,1,2020-10-24,08:17:31
BLOWER,1,2020-10-24,08:17:31
