controller,value,date,time
,,,
MIST,1,2020-10-12,05:08:01
MIST,1,2020-10-12,05:08:01
MIST,1,2020-10-12,05:08:01
MIST,1,2020-10-12,05:08:01
MIST,0,2020-10-12,05:34:31
MIST,0,2020-10-12,05:34:31
MIST,1,2020-10-12,06:21:01
MIST,0,2020-10-12,06:23:01
MIST,0,2020-10-12,06:23:01
MIST,0,2020-10-12,06:23:01
MIST,1,2020-10-12,06:40:31
MIST,0,2020-10-12,06:42:46
MIST,0,2020-10-12,06:42:46
MIST,0,2020-10-12,06:42:46
MIST,1,2020-10-12,06:54:31
MIST,0,2020-10-12,12:32:31
MIST,0,2020-10-12,12:32:31
MIST,0,2020-10-12,12:32:31
MIST,0,2020-10-12,12:32:31
MIST,0,2020-10-12,12:32:31
MIST,1,2020-10-12,13:29:01
MIST,1,2020-10-12,13:29:01
MIST,0,2020-10-12,13:30:46
MIST,0,2020-10-12,13:30:46
MIST,1,2020-10-12,13:35:16
MIST,1,2020-10-12,13:35:16
MIST,0,2020-10-12,16:04:31
,,,
MIST,1,2020-10-16,09:37:46
MIST,0,2020-10-16,09:54:31
MIST,0,2020-10-16,09:54:31
MIST,0,2020-10-16,09:54:31
MIST,0,2020-10-16,09:54:31
MIST,0,2020-10-16,09:54:31
MIST,1,2020-10-16,10:20:01
MIST,0,2020-10-16,10:48:01
MIST,1,2020-10-16,10:56:01
MIST,0,2020-10-16,11:05:16
MIST,1,2020-10-16,11:07:16
MIST,0,2020-10-16,11:56:16
MIST,1,2020-10-16,12:00:01
MIST,0,2020-10-16,12:38:46
MIST,0,2020-10-16,12:38:46
MIST,0,2020-10-16,12:38:46
MIST,0,2020-10-16,12:38:46
MIST,0,2020-10-16,12:38:46
MIST,1,2020-10-16,12:47:16
MIST,0,2020-10-16,13:17:01
MIST,0,2020-10-16,13:17:01
MIST,0,2020-10-16,13:17:01
MIST,1,2020-10-16,13:29:46
MIST,1,2020-10-16,13:29:46
MIST,0,2020-10-16,13:42:01
MIST,0,2020-10-16,13:42:01
MIST,1,2020-10-16,13:55:01
MIST,1,2020-10-16,13:55:01
MIST,0,2020-10-16,14:26:31
,,,
,,,
,,,
MIST,1,2020-10-17,08:51:01
MIST,0,2020-10-17,08:55:31
MIST,1,2020-10-17,08:55:46
MIST,1,2020-10-17,08:55:46
MIST,0,2020-10-17,08:58:16
MIST,0,2020-10-17,08:58:16
MIST,1,2020-10-17,08:58:31
MIST,0,2020-10-17,09:21:31
MIST,1,2020-10-17,09:21:46
MIST,0,2020-10-17,09:49:16
MIST,0,2020-10-17,09:49:16
MIST,0,2020-10-17,09:49:16
MIST,0,2020-10-17,09:49:16
MIST,0,2020-10-17,09:49:16
MIST,1,2020-10-17,10:00:46
MIST,0,2020-10-17,16:08:01
MIST,0,2020-10-17,16:08:01
,,,
,,,
,,,
,,,
,,,
MIST,1,2020-10-18,09:29:46
MIST,0,2020-10-18,16:05:01
MIST,0,2020-10-18,16:05:01
MIST,0,2020-10-18,16:05:01
MIST,0,2020-10-18,16:05:01
MIST,0,2020-10-18,16:05:01
MIST,0,2020-10-18,16:05:01
MIST,0,2020-10-18,16:05:01
MIST,0,2020-10-18,16:05:01
,,,
MIST,1,2020-10-19,08:25:16
MIST,1,2020-10-19,08:25:16
MIST,0,2020-10-19,08:37:16
MIST,0,2020-10-19,08:37:16
MIST,1,2020-10-19,08:39:46
MIST,0,2020-10-19,08:44:16
MIST,1,2020-10-19,08:44:31
MIST,0,2020-10-19,08:49:46
MIST,1,2020-10-19,08:50:16
MIST,0,2020-10-19,15:16:46
MIST,1,2020-10-19,15:19:01
MIST,0,2020-10-19,16:05:46
MIST,0,2020-10-19,16:05:46
MIST,0,2020-10-19,16:05:46
MIST,0,2020-10-19,16:05:46
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
MIST,1,2020-10-20,08:19:16
MIST,0,2020-10-20,08:23:16
MIST,1,2020-10-20,08:28:31
MIST,0,2020-10-20,08:29:31
MIST,1,2020-10-20,08:31:31
MIST,1,2020-10-20,08:31:31
MIST,0,2020-10-20,08:32:16
MIST,0,2020-10-20,08:32:16
MIST,1,2020-10-20,08:36:31
MIST,0,2020-10-20,09:11:01
MIST,0,2020-10-20,09:11:01
MIST,0,2020-10-20,09:11:01
MIST,1,2020-10-20,09:33:31
MIST,0,2020-10-20,14:24:31
MIST,0,2020-10-20,14:24:31
MIST,0,2020-10-20,14:24:31
MIST,1,2020-10-20,14:44:46
MIST,0,2020-10-20,16:10:31
MIST,0,2020-10-20,16:10:31
,,,
MIST,1,2020-10-21,06:01:31
MIST,0,2020-10-21,08:33:31
MIST,0,2020-10-21,08:33:31
MIST,0,2020-10-21,08:33:31
MIST,1,2020-10-21,08:43:01
MIST,1,2020-10-21,08:43:01
MIST,0,2020-10-21,09:16:01
MIST,0,2020-10-21,09:16:01
MIST,0,2020-10-21,09:16:01
MIST,0,2020-10-21,09:16:01
MIST,1,2020-10-21,09:50:31
MIST,0,2020-10-21,09:58:01
MIST,0,2020-10-21,09:58:01
MIST,0,2020-10-21,09:58:01
MIST,0,2020-10-21,09:58:01
,,,
,,,
,,,
,,,
,,,
MIST,1,2020-10-22,04:10:01
MIST,0,2020-10-22,04:25:01
MIST,0,2020-10-22,04:25:01
MIST,0,2020-10-22,04:25:01
MIST,1,2020-10-22,04:41:01
MIST,0,2020-10-22,05:02:31
MIST,0,2020-10-22,05:02:31
MIST,0,2020-10-22,05:02:31
MIST,1,2020-10-22,05:37:31
MIST,0,2020-10-22,06:49:01
MIST,1,2020-10-22,06:50:31
MIST,0,2020-10-22,07:04:31
MIST,1,2020-10-22,07:07:01
MIST,1,2020-10-22,07:07:01
MIST,0,2020-10-22,07:15:31
MIST,0,2020-10-22,07:15:31
MIST,1,2020-10-22,08:58:01
MIST,0,2020-10-22,09:00:01
MIST,0,2020-10-22,09:00:01
MIST,0,2020-10-22,09:00:01
MIST,0,2020-10-22,09:00:01
MIST,0,2020-10-22,09:00:01
MIST,0,2020-10-22,09:00:01
MIST,0,2020-10-22,09:00:01
MIST,0,2020-10-22,09:00:01
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
MIST,1,2020-10-23,03:01:01
MIST,0,2020-10-23,03:01:31
MIST,0,2020-10-23,03:01:31
MIST,0,2020-10-23,03:01:31
MIST,0,2020-10-23,03:01:31
MIST,0,2020-10-23,03:01:31
MIST,1,2020-10-23,04:32:31
MIST,0,2020-10-23,04:35:01
MIST,0,2020-10-23,04:35:01
MIST,0,2020-10-23,04:35:01
MIST,1,2020-10-23,04:49:01
MIST,0,2020-10-23,04:51:31
MIST,0,2020-10-23,04:51:31
MIST,0,2020-10-23,04:51:31
MIST,0,2020-10-23,04:51:31
MIST,0,2020-10-23,04:51:31
MIST,1,2020-10-23,05:52:01
MIST,0,2020-10-23,05:54:31
MIST,0,2020-10-23,05:54:31
MIST,0,2020-10-23,05:54:31
MIST,0,2020-10-23,05:54:31
MIST,0,2020-10-23,05:54:31
MIST,1,2020-10-23,06:31:01
MIST,0,2020-10-23,06:32:31
MIST,0,2020-10-23,06:32:31
MIST,0,2020-10-23,06:32:31
MIST,1,2020-10-23,06:49:31
MIST,0,2020-10-23,06:51:31
MIST,0,2020-10-23,06:51:31
MIST,0,2020-10-23,06:51:31
MIST,0,2020-10-23,06:51:31
MIST,0,2020-10-23,06:51:31
MIST,1,2020-10-23,07:44:31
MIST,0,2020-10-23,07:47:31
MIST,1,2020-10-23,08:14:31
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
MIST,0,2020-10-23,08:17:01
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
MIST,1,2020-10-24,04:23:31
MIST,0,2020-10-24,04:26:01
MIST,0,2020-10-24,04:26:01
MIST,0,2020-10-24,04:26:01
MIST,0,2020-10-24,04:26:01
MIST,0,2020-10-24,04:26:01
MIST,0,2020-10-24,04:26:01
MIST,0,2020-10-24,04:26:01
MIST,0,2020-10-24,04:26:01
MIST,0,2020-10-24,04:26:01
MIST,1,2020-10-24,08:04:01
MIST,0,2020-10-24,08:06:31
MIST,0,2020-10-24,08:06:31
MIST,0,2020-10-24,08:06:31
MIST,1,2020-10-24,08:25:01
MIST,0,2020-10-24,08:26:31
MIST,0,2020-10-24,08:26:31
MIST,0,2020-10-24,08:26:31
MIST,1,2020-10-24,08:47:01
MIST,0,2020-10-24,08:49:31
MIST,0,2020-10-24,08:49:31
MIST,0,2020-10-24,08:49:31
MIST,0,2020-10-24,08:49:31
MIST,0,2020-10-24,08:49:31
MIST,0,2020-10-24,08:49:31
MIST,0,2020-10-24,08:49:31
MIST,1,2020-10-24,09:51:01
MIST,0,2020-10-24,09:52:01
MIST,0,2020-10-24,09:52:01
MIST,0,2020-10-24,09:52:01
MIST,0,2020-10-24,09:52:01
MIST,0,2020-10-24,09:52:01
MIST,0,2020-10-24,09:52:01
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
MIST,1,2020-10-25,03:43:31
MIST,0,2020-10-25,03:45:31
MIST,0,2020-10-25,03:45:31
MIST,0,2020-10-25,03:45:31
MIST,0,2020-10-25,03:45:31
MIST,0,2020-10-25,03:45:31
MIST,0,2020-10-25,03:45:31
MIST,0,2020-10-25,03:45:31
MIST,1,2020-10-25,04:16:31
MIST,0,2020-10-25,04:26:31
MIST,1,2020-10-25,04:27:01
MIST,0,2020-10-25,04:33:01
MIST,1,2020-10-25,04:34:01
MIST,0,2020-10-25,04:42:31
MIST,1,2020-10-25,04:47:01
MIST,0,2020-10-25,04:49:31
MIST,1,2020-10-25,04:56:31
MIST,0,2020-10-25,05:02:31
MIST,1,2020-10-25,05:14:01
MIST,0,2020-10-25,05:18:01
MIST,1,2020-10-25,05:32:31
MIST,0,2020-10-25,05:40:31
MIST,1,2020-10-25,05:45:31
MIST,0,2020-10-25,06:11:31
MIST,1,2020-10-25,06:17:01
MIST,0,2020-10-25,06:56:01
MIST,1,2020-10-25,07:02:31
MIST,0,2020-10-25,07:10:01
MIST,1,2020-10-25,07:13:31
MIST,0,2020-10-25,07:22:31
MIST,1,2020-10-25,07:34:31
MIST,0,2020-10-25,07:44:31
MIST,1,2020-10-25,08:01:01
MIST,0,2020-10-25,09:16:31
MIST,1,2020-10-25,09:21:31
MIST,0,2020-10-25,09:38:31
MIST,1,2020-10-25,09:42:01
MIST,0,2020-10-25,09:48:31
MIST,1,2020-10-25,09:51:01
MIST,0,2020-10-25,10:03:31
MIST,1,2020-10-25,10:08:01
MIST,0,2020-10-25,10:16:31
MIST,0,2020-10-25,10:16:31
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
